H1	H2	H3	nABBA	nBABA	Dstat	jackEst	SE	Z
PSP07	Hs03	Min11	134395	137763	-0.01237516	-0.01237516	0.008948694	-1.382902
PSP08	Hs03	Min11	133119	139882	-0.0247728	-0.0247728	0.008790327	-2.818189
PSP09	Hs03	Min11	134679	138407	-0.01365138	-0.01365138	0.007760845	-1.759006
PSP12	Hs03	Min11	135423	140144	-0.01713195	-0.01713195	0.008602877	-1.991421
PSP15	Hs03	Min11	133550	140710	-0.02610661	-0.02610661	0.008706236	-2.998611
PSP20	Hs03	Min11	135196	135125	0.0002626507	0.0002626507	0.00842502	0.03117508
Hs01	Hs03	Min11	134860	141421	-0.02374756	-0.02374756	0.008842242	-2.685694
Hs02	Hs03	Min11	133217	140946	-0.02819126	-0.02819126	0.009549086	-2.952247
Min01	Hs04	Min11	146034	199272	-0.1541763	-0.1541763	0.02152853	-7.161487
Min02	Hs04	Min11	130362	214696	-0.2444053	-0.2444053	0.0185821	-13.15273
Min03	Hs04	Min11	146420	201560	-0.1584574	-0.1584574	0.02192546	-7.227097
Min04	Hs04	Min11	149709	193587	-0.1278139	-0.1278139	0.02336819	-5.469569
Min05	Hs04	Min11	144277	202113	-0.1669679	-0.1669679	0.02176645	-7.670883
Min06	Hs04	Min11	147189	206998	-0.1688628	-0.1688628	0.02339558	-7.217723
Min07	Hs04	Min11	143911	188707	-0.134677	-0.134677	0.02155498	-6.248069
Min08	Hs04	Min11	147519	200646	-0.1525914	-0.1525914	0.02155553	-7.078994
Min09	Hs04	Min11	142231	188719	-0.1404683	-0.1404683	0.02181171	-6.440042
Min10	Hs04	Min11	155342	193034	-0.1081934	-0.1081934	0.02609081	-4.146803
BosCrete01	Hs04	Min11	177583	188665	-0.03025819	-0.03025819	0.03134893	-0.9652063
BosCrete02	Hs04	Min11	174507	190984	-0.04508182	-0.04508182	0.03135509	-1.437783
BosCrete03	Hs04	Min11	174862	187526	-0.03494597	-0.03494597	0.0314586	-1.110856
BosCrete04	Hs04	Min11	176180	188074	-0.03265304	-0.03265304	0.03134156	-1.041845
BosCrete05	Hs04	Min11	174826	186401	-0.03204356	-0.03204356	0.03156442	-1.01518
BosCrete06	Hs04	Min11	176812	188678	-0.032466	-0.032466	0.03136269	-1.035179
BosCrete07	Hs04	Min11	176599	187753	-0.03061325	-0.03061325	0.031468	-0.9728375
